primary_label,support,best_variant,best_auc,second_auc,sed_quality,sed_margin,sed_trust,auc_zscore,auc_minmax
greani1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
greant1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
greela,0,zscore,0.5,0.5,0.0,0.0,0.0,,
grekis,0,zscore,0.5,0.5,0.0,0.0,0.0,,
grepot1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
gretho2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
greyel,0,zscore,0.5,0.5,0.0,0.0,0.0,,
grfdov1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
grhtan1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
gycwor1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
horscr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
houspa,0,zscore,0.5,0.5,0.0,0.0,0.0,,
hyamac1,10,zscore,0.65787965,0.6366762,0.3929321,0.21203458,0.34230685,0.65787965,0.6366762
larela1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
lesela1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
lesgrf1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
limpki,3,zscore,0.46524823,0.35271868,0.0,1.0,0.0,0.46524823,0.35271868
linwoo1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
litcuc2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
litnig1,37,zscore,0.5298264,0.26293954,0.0,1.0,0.0,0.5298264,0.26293954
mabpar,0,zscore,0.5,0.5,0.0,0.0,0.0,,
magant1,5,zscore,0.45917496,0.42076814,0.0,0.3840682,0.0,0.45917496,0.42076814
magtan2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
masgna1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
nacnig1,11,zscore,0.55719316,0.40380853,0.05731046,1.0,0.0,0.55719316,0.40380853
ocecra1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
oliwoo1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
orbtro3,0,zscore,0.5,0.5,0.0,0.0,0.0,,
orwpar,13,minmax,0.38782513,0.1713337,0.0,1.0,0.0,0.1713337,0.38782513
osprey,0,zscore,0.5,0.5,0.0,0.0,0.0,,
pabspi1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
palhor3,0,zscore,0.5,0.5,0.0,0.0,0.0,,
paltan1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
phecuc1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
picpig2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
pirfly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
plasla1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
platyr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
plcjay1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
pluibi1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
purjay1,5,minmax,0.48904693,0.46002844,0.0,0.29018492,0.0,0.46002844,0.48904693
pvttyr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
ragmac1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rebscy1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
recfin1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
redjun,12,zscore,0.6934866,0.55411875,0.51162183,1.0,0.50743794,0.6934866,0.55411875
relser1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rinkin1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rivwar1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
roahaw,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rubthr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rufcac2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rufcas2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rufgna3,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rufhor2,4,minmax,0.21768466,0.1977983,0.0,0.1988636,0.0,0.1977983,0.21768466
rufnig1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
ruftho1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
ruftof1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
rumfly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
ruther1,1,zscore,0.36633664,0.32107496,0.0,0.4526168,0.0,0.36633664,0.32107496
rutjac1,1,zscore,0.73125887,0.3026874,0.6375295,1.0,0.0,0.73125887,0.3026874
sabspa1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
saffin,0,zscore,0.5,0.5,0.0,0.0,0.0,,
saytan1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
scadov1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
schpar1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
scther1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
shcfly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
shshaw,0,zscore,0.5,0.5,0.0,0.0,0.0,,
shtnig1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
sibtan2,1,zscore,0.40876946,0.3903819,0.0,0.18387556,0.0,0.40876946,0.3903819
smbani,0,zscore,0.5,0.5,0.0,0.0,0.0,,
smbtin1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
sobcac1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
