primary_label,common_name,class_name,support,oof_base_auc,oof_prior_auc,support_bucket,macro_risk_action,w_anchor,w_sed,w_private_probe,w_cnn_sidecar,risk_rank
cibspi1,Cinereous-breasted Spinetail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,51.5
coffal1,Collared Forest-Falcon,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,52.51
crbthr1,Creamy-bellied Thrush,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,53.52
crebec1,Crested Becard,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,54.53
dwatin1,Dwarf Tinamou,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,55.54
epaori4,Variable Oriole,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,56.55
eulfly1,Euler's Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,57.56
fabwre1,Fawn-breasted Wren,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,58.57
fepowl,Ferruginous Pygmy Owl,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,59.58
ficman1,Fiery-capped Manakin,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,60.59
flawar1,Flavescent Warbler,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,61.6
fotfly,Fork-tailed Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,62.61
gilhum1,Gilded Hummingbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,63.62
giwrai1,Giant Wood Rail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,64.63
glteme1,Glittering-throated Emerald,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,65.64
grasal3,Bluish-grey Saltator,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,66.65
greani1,Greater Ani,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,67.66
greant1,Great Antshrike,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,68.67
greela,Greenish Elaenia,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,69.68
grepot1,Great Potoo,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,71.69
gretho2,Greater Thornbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,72.7
greyel,Greater Yellowlegs,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,73.71
grfdov1,Grey-fronted Dove,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,74.72
grhtan1,Grey-headed Tanager,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,75.73
gycwor1,Grey-cowled Wood Rail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,76.74
horscr1,Horned Screamer,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,77.75
houspa,House Sparrow,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,78.76
larela1,Large Elaenia,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,79.77
lesela1,Lesser Elaenia,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,80.78
lesgrf1,Lesser Grass-Finch,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,81.79
linwoo1,Lineated Woodpecker,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,82.8
litcuc2,Little Cuckoo,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,83.81
mabpar,Maroon-bellied Parakeet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,84.82
magtan2,Magpie Tanager,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,85.83
masgna1,Masked Gnatcatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,86.84
ocecra1,Ocellated Crake,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,87.85
oliwoo1,Olivaceous Woodcreeper,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,88.86
orbtro3,Orange-backed Troupial,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,89.87
osprey,Osprey,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,90.88
pabspi1,Pale-breasted Spinetail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,91.89
palhor3,Pale-legged Hornero,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,92.9
paltan1,Palm Tanager,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,93.91
phecuc1,Pheasant Cuckoo,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,94.92
picpig2,Picazuro Pigeon,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,95.93
pirfly1,Piratic Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,96.94
plasla1,Planalto Slaty Antshrike,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,97.95
platyr1,Plain Inezia,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,98.96
pluibi1,Plumbeous Ibis,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,100.97
pvttyr1,Pearly-vented Tody-Tyrant,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,101.98
ragmac1,Red-and-green Macaw,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,102.99
rebscy1,Red-billed Scythebill,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,104.0
recfin1,Red-crested Finch,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,105.01
relser1,Red-legged Seriema,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,106.02
rinkin1,Ringed Kingfisher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,107.03
rivwar1,Riverbank Warbler,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,108.04
roahaw,Roadside Hawk,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,109.05
rubthr1,Rufous-bellied Thrush,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,110.06
rufcac2,Rufous Cacholote,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,111.07
rufcas2,Rufous Casiornis,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,112.08
rufgna3,Rufous Gnateater,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,113.09
rufnig1,Rufous Nightjar,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,114.1
