name,formula,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,classes_mixed,sources_used,selected_classes,min,max,mean,std
v110_clean_router_m-0.04_w0.35_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.35;mode=rankcal_ranklead;support_shrink=log1p,0.97944676,0.91699136,0.21917808,0.52054795,22,0.99963101,0.00065746,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52178968,0.24213512
v110_clean_router_m-0.02_w0.35_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.35;mode=rankcal_ranklead;support_shrink=log1p,0.97944676,0.91659037,0.21917808,0.52054795,22,0.99964772,0.00060554,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52173777,0.24214662
v110_clean_router_m-0.04_w0.7_norm_residual,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.7;mode=norm_residual;support_shrink=log1p,0.97944308,0.91640328,0.21917808,0.52054795,22,0.99976062,0.00075573,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52124380,0.24205049
v110_clean_router_m-0.02_w0.18_prob,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.18;mode=prob;support_shrink=log1p,0.97944308,0.91651006,0.21917808,0.52054795,22,0.99974559,0.00074115,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52112295,0.24208313
v110_clean_router_m-0.02_w0.7_norm_residual,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.7;mode=norm_residual;support_shrink=log1p,0.97944308,0.91620388,0.21917808,0.52054795,22,0.99977307,0.00068917,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52120985,0.24206457
v110_clean_router_m0_w0.18_prob,per_class_best_non_tsubasa_side;margin=0.0;weight=0.18;mode=prob;support_shrink=log1p,0.97942993,0.91597831,0.21917808,0.52054795,22,0.99977091,0.00061732,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946990,0.52112532,0.24208423
v110_clean_router_m0_w0.7_norm_residual,per_class_best_non_tsubasa_side;margin=0.0;weight=0.7;mode=norm_residual;support_shrink=log1p,0.97942993,0.91589374,0.21917808,0.52054795,22,0.99978567,0.00059700,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946990,0.52117294,0.24207874
v114_clean_selfblend_router_m-0.04_w0.08_prob,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.08;mode=prob;support_shrink=log1p,0.97942867,0.91661684,0.23287671,0.52054795,22,0.99994588,0.00036521,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52110891,0.24179121
v114_clean_selfblend_router_m-0.02_w0.08_prob,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.08;mode=prob;support_shrink=log1p,0.97942867,0.91650523,0.23287671,0.52054795,22,0.99994963,0.00032934,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52111159,0.24178838
v114_clean_selfblend_router_m-0.04_w0.12_rankcal,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.12;mode=rankcal;support_shrink=log1p,0.97941349,0.91609762,0.23287671,0.52054795,22,0.99990790,0.00045442,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52111566,0.24169476
