name,formula,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
th0.04_sl0.04_flat_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91507732,0.23287671,0.52054795,0.01114442,0.99946645,0.52113103,0.24215870
th0.04_sl0.04_flat_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91511368,0.23287671,0.52054795,0.01114442,0.99946576,0.52113079,0.24212868
th0.04_sl0.04_flat_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91517490,0.23287671,0.52054795,0.01114442,0.99946438,0.52113031,0.24207581
th0.04_sl0.04_flat_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91524830,0.23287671,0.52054795,0.01114442,0.99946231,0.52112959,0.24201439
th0.04_sl0.04_flat_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91530342,0.23287671,0.52054795,0.01114442,0.99945956,0.52112863,0.24196596
th0.04_sl0.04_flat_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91530837,0.23287671,0.52054795,0.01114442,0.99945611,0.52112743,0.24195920
th0.04_sl0.04_entropy_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91490347,0.21917808,0.52054795,0.01114442,0.99946893,0.52113141,0.24229209
th0.04_sl0.04_entropy_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91494420,0.21917808,0.52054795,0.01114442,0.99946845,0.52113100,0.24226739
th0.04_sl0.04_entropy_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91497469,0.23287671,0.52054795,0.01114442,0.99946797,0.52113059,0.24224370
th0.04_sl0.04_entropy_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91500794,0.23287671,0.52054795,0.01114442,0.99946748,0.52113018,0.24222103
th0.04_sl0.04_entropy_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91503705,0.23287671,0.52054795,0.01114442,0.99946700,0.52112977,0.24219938
th0.04_sl0.04_entropy_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91509228,0.23287671,0.52054795,0.01114442,0.99946603,0.52112896,0.24215913
