candidate,alpha,target_mode,blend_weight,min_delta,min_prior_rank,active_cells,macro_auc,macro_gain,micro_auc,top1_hit,top5_hit,fold_macro_mean,fold_macro_std,fold_macro_min,fold_std_delta,weak_followup_mean_auc,weak_followup_gain,corr_vs_anchor,corr_vs_v377_oracle,decision
alpha10_delta_bw0.7_d0_pr0.5,10.00000000,delta,0.70000000,0.00000000,0.50000000,221.00000000,0.97814618,0.00078263,0.91407635,0.31506849,0.50684932,0.76607552,0.15502071,0.47432660,-0.00022659,0.95230300,0.00245968,0.99998795,0.99976458,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0_pr0,1.00000000,delta,0.50000000,0.00000000,0.00000000,334.00000000,0.97806034,0.00069678,0.91400197,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95203320,0.00218989,0.99998660,0.99977932,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0_pr0.25,1.00000000,delta,0.50000000,0.00000000,0.25000000,287.00000000,0.97806034,0.00069678,0.91400220,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95203320,0.00218989,0.99998736,0.99977768,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0_pr0.5,1.00000000,delta,0.50000000,0.00000000,0.50000000,207.00000000,0.97806034,0.00069678,0.91400335,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95203320,0.00218989,0.99998901,0.99976960,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.005_pr0,1.00000000,delta,0.50000000,0.00500000,0.00000000,251.00000000,0.97806034,0.00069678,0.91392821,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95203320,0.00218989,0.99998663,0.99977884,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.005_pr0.25,1.00000000,delta,0.50000000,0.00500000,0.25000000,219.00000000,0.97806034,0.00069678,0.91392844,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95203320,0.00218989,0.99998739,0.99977728,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.005_pr0.5,1.00000000,delta,0.50000000,0.00500000,0.50000000,158.00000000,0.97806034,0.00069678,0.91392960,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95203320,0.00218989,0.99998903,0.99976924,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.01_pr0,1.00000000,delta,0.50000000,0.01000000,0.00000000,196.00000000,0.97803558,0.00067203,0.91386948,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95195539,0.00211208,0.99998686,0.99977781,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.01_pr0.25,1.00000000,delta,0.50000000,0.01000000,0.25000000,173.00000000,0.97803558,0.00067203,0.91386971,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95195539,0.00211208,0.99998757,0.99977633,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.01_pr0.5,1.00000000,delta,0.50000000,0.01000000,0.50000000,129.00000000,0.97803558,0.00067203,0.91387005,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95195539,0.00211208,0.99998915,0.99976869,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.02_pr0,1.00000000,delta,0.50000000,0.02000000,0.00000000,125.00000000,0.97801711,0.00065355,0.91362526,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95189734,0.00205402,0.99998803,0.99977342,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.02_pr0.25,1.00000000,delta,0.50000000,0.02000000,0.25000000,115.00000000,0.97801711,0.00065355,0.91362537,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95189734,0.00205402,0.99998852,0.99977340,PROMOTE-deployable-distill-candidate
alpha1_delta_bw0.5_d0.02_pr0.5,1.00000000,delta,0.50000000,0.02000000,0.50000000,95.00000000,0.97801711,0.00065355,0.91362549,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95189734,0.00205402,0.99998969,0.99976673,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.3_d0_pr0,0.01000000,delta,0.30000000,0.00000000,0.00000000,318.00000000,0.97787848,0.00051492,0.91373112,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95146164,0.00161832,0.99999292,0.99976713,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.3_d0_pr0.25,0.01000000,delta,0.30000000,0.00000000,0.25000000,283.00000000,0.97787848,0.00051492,0.91373123,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95146164,0.00161832,0.99999328,0.99976621,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.3_d0_pr0.5,0.01000000,delta,0.30000000,0.00000000,0.50000000,204.00000000,0.97787848,0.00051492,0.91373181,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95146164,0.00161832,0.99999406,0.99976039,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.3_d0.005_pr0,0.01000000,delta,0.30000000,0.00500000,0.00000000,249.00000000,0.97787848,0.00051492,0.91368325,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95146164,0.00161832,0.99999293,0.99976701,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.3_d0.005_pr0.25,0.01000000,delta,0.30000000,0.00500000,0.25000000,220.00000000,0.97787848,0.00051492,0.91368337,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95146164,0.00161832,0.99999329,0.99976611,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw0.3_d0.005_pr0.5,0.01000000,delta,0.30000000,0.00500000,0.50000000,156.00000000,0.97787848,0.00051492,0.91368394,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95146164,0.00161832,0.99999407,0.99976030,PROMOTE-deployable-distill-candidate
alpha0.01_delta_bw1_d0_pr0,0.01000000,delta,1.00000000,0.00000000,0.00000000,318.00000000,0.97851940,0.00115585,0.91575906,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95347597,0.00363266,0.99992126,0.99982248,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0_pr0.25,0.01000000,delta,1.00000000,0.00000000,0.25000000,283.00000000,0.97851940,0.00115585,0.91576021,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95347597,0.00363266,0.99992532,0.99982226,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0_pr0.5,0.01000000,delta,1.00000000,0.00000000,0.50000000,204.00000000,0.97851940,0.00115585,0.91576217,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95347597,0.00363266,0.99993401,0.99980891,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.005_pr0,0.01000000,delta,1.00000000,0.00500000,0.00000000,249.00000000,0.97846591,0.00110236,0.91558756,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95330786,0.00346455,0.99992139,0.99982218,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.005_pr0.25,0.01000000,delta,1.00000000,0.00500000,0.25000000,220.00000000,0.97846591,0.00110236,0.91558871,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95330786,0.00346455,0.99992545,0.99982199,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.005_pr0.5,0.01000000,delta,1.00000000,0.00500000,0.50000000,156.00000000,0.97846591,0.00110236,0.91559078,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95330786,0.00346455,0.99993412,0.99980870,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.02_pr0,0.01000000,delta,1.00000000,0.02000000,0.00000000,141.00000000,0.97844113,0.00107757,0.91516650,0.30136986,0.50684932,0.76482552,0.15647432,0.47432660,0.00122702,0.95322996,0.00338664,0.99992568,0.99981481,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.02_pr0.25,0.01000000,delta,1.00000000,0.02000000,0.25000000,128.00000000,0.97844113,0.00107757,0.91516719,0.30136986,0.50684932,0.76482552,0.15647432,0.47432660,0.00122702,0.95322996,0.00338664,0.99992902,0.99981712,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.02_pr0.5,0.01000000,delta,1.00000000,0.02000000,0.50000000,102.00000000,0.97844113,0.00107757,0.91516753,0.30136986,0.50684932,0.76482552,0.15647432,0.47432660,0.00122702,0.95322996,0.00338664,0.99993630,0.99980482,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.01_pr0,0.01000000,delta,1.00000000,0.01000000,0.00000000,197.00000000,0.97840450,0.00104095,0.91544034,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95311486,0.00327154,0.99992222,0.99982022,HOLD-no-promotion-gate
